values,names,indiv,fixed,lower_bound,upper_bound,steps
1,sd,0,0,0,10,0.1
0,lod,0,1,0,2,0.1
2,limit_quantification,0,1,0,10,0.1
100,max_titre,0,1,0,100,0.1
0,true_0,0,1,-10,0,0.1
8,viral_peak_mean,0,0,-100,100,0.1
1,viral_peak_sd,0,0,0,10,0.1
0.5,wane_mean,0,0,-100,100,0.1
0.2,wane_sd,0,0,0,100,0.1
3,tp_mean,0,1,-100,100,0.1
0.2,tp_sd,0,1,0,5,0.1
0.3,rho_viral_wane,0,0,-1,1,0.1
0.05,rho_viral_tp,0,1,-1,1,0.1
0,rho_wane_tp,0,1,-1,1,0.1
7.091497614,viral_peak,1,0,0,25,0.1
27.04636764,t_wane,1,0,0,50,0.1
2,desired_mode,1,0,0,3,0.1
2,tshift,1,0,0,3,0.1
7.091497614,viral_peak,2,0,0,25,0.1
27.04636764,t_wane,2,0,0,50,0.1
2,desired_mode,2,0,0,3,0.1
2,tshift,2,0,0,3,0.1
7.091497614,viral_peak,3,0,0,25,0.1
27.04636764,t_wane,3,0,0,50,0.1
2,desired_mode,3,0,0,3,0.1
2,tshift,3,0,0,3,0.1
7.091497614,viral_peak,4,0,0,25,0.1
27.04636764,t_wane,4,0,0,50,0.1
2,desired_mode,4,0,0,3,0.1
2,tshift,4,0,0,3,0.1
7.091497614,viral_peak,5,0,0,25,0.1
27.04636764,t_wane,5,0,0,50,0.1
2,desired_mode,5,0,0,3,0.1
2,tshift,5,0,0,3,0.1
7.091497614,viral_peak,6,0,0,25,0.1
27.04636764,t_wane,6,0,0,50,0.1
2,desired_mode,6,0,0,3,0.1
2,tshift,6,0,0,3,0.1
7.091497614,viral_peak,7,0,0,25,0.1
27.04636764,t_wane,7,0,0,50,0.1
2,desired_mode,7,0,0,3,0.1
2,tshift,7,0,0,3,0.1
7.091497614,viral_peak,8,0,0,25,0.1
27.04636764,t_wane,8,0,0,50,0.1
2,desired_mode,8,0,0,3,0.1
2,tshift,8,0,0,3,0.1
7.091497614,viral_peak,9,0,0,25,0.1
27.04636764,t_wane,9,0,0,50,0.1
2,desired_mode,9,0,0,3,0.1
2,tshift,9,0,0,3,0.1
5,incu,1,0,0,100,0.1
5,incu,2,0,0,100,0.1
5,incu,3,0,0,100,0.1
5,incu,4,0,0,100,0.1
5,incu,5,0,0,100,0.1
5,incu,6,0,0,100,0.1
5,incu,7,0,0,100,0.1
5,incu,8,0,0,100,0.1
5,incu,9,0,0,100,0.1