Total samples,Pools,Samples per pool,Prevalence in population (lower end of range),NRMSE_pop,NRMSE_samp
2304,48,48,0.000050,4.012431,2.928442
2304,48,48,0.000149,1.635144,1.165098
2304,48,48,0.000444,0.788055,0.438431
2304,48,48,0.001322,0.441977,0.207164
2304,48,48,0.003937,0.287299,0.148769
2304,48,48,0.011728,0.208543,0.144651
2304,48,48,0.034935,0.216426,0.197278
2304,48,48,0.104067,0.249957,0.244021
1152,12,96,0.000050,3.992348,2.798674
1152,12,96,0.000149,2.015165,1.280038
1152,12,96,0.000444,1.072242,0.544419
1152,12,96,0.001322,0.659217,0.362794
1152,12,96,0.003937,0.466711,0.295581
1152,12,96,0.011728,0.386107,0.322784
1152,12,96,0.034935,0.438290,0.419058
1152,12,96,0.104067,0.391279,0.383888
2304,12,192,0.000050,2.768816,1.638642
2304,12,192,0.000149,1.407033,0.745070
2304,12,192,0.000444,0.795837,0.393166
2304,12,192,0.001322,0.535495,0.316483
2304,12,192,0.003937,0.424048,0.333213
2304,12,192,0.011728,0.470947,0.437925
2304,12,192,0.034935,0.444560,0.440539
2304,12,192,0.104067,0.366159,0.362901
4608,12,384,0.000050,1.613768,0.924682
4608,12,384,0.000149,0.951474,0.516589
4608,12,384,0.000444,0.569084,0.337182
4608,12,384,0.001322,0.428587,0.302400
4608,12,384,0.003937,0.473549,0.422663
4608,12,384,0.011728,0.488283,0.479654
4608,12,384,0.034935,0.409109,0.401885
4608,12,384,0.104067,0.307015,0.306747
1152,24,48,0.000050,5.658548,4.572917
1152,24,48,0.000149,2.347676,1.637084
1152,24,48,0.000444,1.151315,0.635390
1152,24,48,0.001322,0.615480,0.304248
1152,24,48,0.003937,0.407313,0.208663
1152,24,48,0.011728,0.285807,0.203692
1152,24,48,0.034935,0.292248,0.262908
1152,24,48,0.104067,0.292409,0.285226
2304,6,384,0.000050,2.672348,1.584731
2304,6,384,0.000149,1.487751,0.783750
2304,6,384,0.000444,0.886814,0.515779
2304,6,384,0.001322,0.722076,0.512257
2304,6,384,0.003937,0.687305,0.610419
2304,6,384,0.011728,0.685908,0.668657
2304,6,384,0.034935,0.490864,0.482811
2304,6,384,0.104067,0.315064,0.314301
1152,6,192,0.000050,4.205794,2.025220
1152,6,192,0.000149,2.176602,1.132898
1152,6,192,0.000444,1.211892,0.623554
1152,6,192,0.001322,0.778654,0.450332
1152,6,192,0.003937,0.696906,0.539783
1152,6,192,0.011728,0.709353,0.662427
1152,6,192,0.034935,0.572574,0.568782
1152,6,192,0.104067,0.420412,0.419121
576,6,96,0.000050,6.779124,5.587059
576,6,96,0.000149,3.218873,1.925233
576,6,96,0.000444,1.651227,0.889134
576,6,96,0.001322,0.996548,0.537480
576,6,96,0.003937,0.712862,0.489089
576,6,96,0.011728,0.656080,0.562406
576,6,96,0.034935,0.651463,0.630673
576,6,96,0.104067,0.495196,0.485085
9216,24,384,0.000050,1.200177,0.672005
9216,24,384,0.000149,0.644328,0.356941
9216,24,384,0.000444,0.413223,0.248257
9216,24,384,0.001322,0.290450,0.207161
9216,24,384,0.003937,0.308073,0.271883
9216,24,384,0.011728,0.343459,0.335844
9216,24,384,0.034935,0.370349,0.369258
9216,24,384,0.104067,0.296526,0.296085
4608,24,192,0.000050,1.793937,1.096953
4608,24,192,0.000149,0.966235,0.529176
4608,24,192,0.000444,0.538729,0.281102
4608,24,192,0.001322,0.363775,0.220082
4608,24,192,0.003937,0.282985,0.218867
4608,24,192,0.011728,0.320142,0.299635
4608,24,192,0.034935,0.382645,0.376612
4608,24,192,0.104067,0.347271,0.345373
4608,48,96,0.000050,2.241913,1.562743
4608,48,96,0.000149,1.041149,0.628768
4608,48,96,0.000444,0.533429,0.270227
4608,48,96,0.001322,0.325193,0.169314
4608,48,96,0.003937,0.220215,0.142084
4608,48,96,0.011728,0.210194,0.182005
4608,48,96,0.034935,0.280164,0.274456
4608,48,96,0.104067,0.332996,0.328875
9216,48,192,0.000050,1.266110,0.839028
9216,48,192,0.000149,0.645588,0.360591
9216,48,192,0.000444,0.378397,0.209699
9216,48,192,0.001322,0.254492,0.167294
9216,48,192,0.003937,0.208064,0.161794
9216,48,192,0.011728,0.247996,0.234118
9216,48,192,0.034935,0.350169,0.347428
9216,48,192,0.104067,0.325392,0.325780
18432,48,384,0.000050,0.807687,0.435926
18432,48,384,0.000149,0.460983,0.261593
18432,48,384,0.000444,0.293832,0.197780
18432,48,384,0.001322,0.215213,0.163394
18432,48,384,0.003937,0.218373,0.195142
18432,48,384,0.011728,0.308410,0.301785
18432,48,384,0.034935,0.345374,0.344236
18432,48,384,0.104067,0.288589,0.288313
576,12,48,0.000050,7.612260,7.470999
576,12,48,0.000149,3.268857,2.286584
576,12,48,0.000444,1.731052,0.863452
576,12,48,0.001322,0.907122,0.455435
576,12,48,0.003937,0.577140,0.290542
576,12,48,0.011728,0.415893,0.294339
576,12,48,0.034935,0.390922,0.354221
576,12,48,0.104067,0.406601,0.392437
2304,24,96,0.000050,3.002269,2.303342
2304,24,96,0.000149,1.406956,0.884157
2304,24,96,0.000444,0.778901,0.384401
2304,24,96,0.001322,0.455204,0.229575
2304,24,96,0.003937,0.312572,0.199942
2304,24,96,0.011728,0.299604,0.255384
2304,24,96,0.034935,0.324160,0.313075
2304,24,96,0.104067,0.324447,0.322547
288,6,48,0.000050,10.966815,10.273972
288,6,48,0.000149,4.926372,3.578349
288,6,48,0.000444,2.435337,1.633428
288,6,48,0.001322,1.376434,0.748895
288,6,48,0.003937,0.894789,0.485574
288,6,48,0.011728,0.708307,0.544911
288,6,48,0.034935,0.652996,0.589779
288,6,48,0.104067,0.573857,0.550320
